datetime;voltaje;distancia
2022-12-27 13:41:05;3.97;242.0
2022-12-27 13:42:09;3.97;242.0
2022-12-27 13:43:08;3.97;242.0
2022-12-27 13:44:07;3.97;242.0
2022-12-27 13:45:07;3.97;242.0
2022-12-27 13:46:06;3.97;242.0
2022-12-27 13:47:05;3.97;242.0
2022-12-27 13:48:09;4.19;242.0
2022-12-27 13:49:08;4.19;242.0
2022-12-27 13:50:07;3.97;242.0
2022-12-27 13:51:06;3.97;242.0
2022-12-27 13:52:05;3.97;243.0
2022-12-27 13:53:09;3.97;242.0
2022-12-27 13:54:08;3.97;242.0
2022-12-27 13:55:08;3.97;242.0
2022-12-27 13:56:07;3.96;242.0
2022-12-27 13:57:06;4.19;242.0
2022-12-27 13:58:05;3.97;242.0
2022-12-27 13:59:09;3.97;242.0
2022-12-27 14:00:08;3.97;242.0
2022-12-27 14:01:07;3.97;242.0
2022-12-27 14:02:06;3.97;242.0
2022-12-27 14:03:05;3.97;242.0
2022-12-27 14:04:05;3.97;242.0
2022-12-27 14:05:08;3.97;242.0
2022-12-27 14:06:08;3.96;242.0
2022-12-27 14:07:07;3.97;242.0
2022-12-27 14:08:06;4.19;242.0
2022-12-27 14:09:05;4.19;242.0
2022-12-27 14:10:09;3.97;242.0
2022-12-27 14:11:08;4.2;242.0
2022-12-27 14:12:07;3.96;242.0
2022-12-27 14:13:06;3.97;242.0
2022-12-27 14:14:06;3.97;242.0
2022-12-27 14:15:05;3.97;242.0
2022-12-27 14:16:09;3.97;242.0
2022-12-27 14:17:08;3.97;242.0
2022-12-27 14:18:07;3.97;242.0
2022-12-27 14:19:06;3.97;242.0
2022-12-27 14:20:05;3.97;243.0
2022-12-27 14:21:05;3.97;242.0
2022-12-27 14:22:09;3.97;242.0
2022-12-27 14:23:08;3.96;242.0
2022-12-27 14:24:07;3.96;242.0
2022-12-27 14:25:06;3.96;242.0
2022-12-27 14:26:05;3.97;243.0
2022-12-27 14:27:09;3.97;243.0
2022-12-27 14:28:08;3.97;242.0
2022-12-27 14:29:07;3.97;242.0
2022-12-27 14:30:07;3.97;243.0
2022-12-27 14:31:06;3.97;242.0
2022-12-27 14:32:05;3.97;242.0
2022-12-27 14:33:09;3.97;242.0
2022-12-27 14:34:08;3.97;242.0
2022-12-27 14:35:07;3.97;242.0
2022-12-27 14:36:06;4.19;242.0
2022-12-27 14:37:05;4.2;242.0
2022-12-27 14:38:09;3.97;242.0
2022-12-27 14:39:08;3.97;242.0
2022-12-27 14:40:08;3.97;242.0
2022-12-27 14:41:07;3.97;242.0
2022-12-27 14:42:06;4.2;243.0
2022-12-27 14:43:05;4.2;242.0
2022-12-27 14:44:09;4.2;242.0
2022-12-27 14:45:08;4.2;242.0
2022-12-27 14:46:08;4.2;242.0
2022-12-27 14:47:07;4.19;242.0
2022-12-27 14:48:06;4.19;242.0
2022-12-27 14:49:05;4.2;242.0
2022-12-27 14:50:09;3.97;241.0
2022-12-27 14:51:04;3.97;242.0
2022-12-27 14:52:08;3.97;242.0
2022-12-27 14:53:07;3.97;242.0
2022-12-27 14:54:07;3.97;242.0
2022-12-27 14:55:06;3.97;242.0
2022-12-27 14:56:05;3.97;242.0
2022-12-27 14:57:09;3.97;242.0
2022-12-27 14:58:08;3.97;242.0
2022-12-27 14:59:08;3.97;242.0
2022-12-27 15:00:07;3.97;242.0
2022-12-27 15:01:06;3.97;242.0
2022-12-27 15:02:06;3.97;242.0
2022-12-27 15:03:05;3.97;242.0
2022-12-27 15:04:09;3.97;242.0
2022-12-27 15:05:09;3.97;242.0
2022-12-27 15:06:08;3.97;242.0
2022-12-27 15:07:07;4.21;242.0
2022-12-27 15:08:07;3.97;242.0
2022-12-27 15:09:06;3.97;242.0
2022-12-27 15:10:05;3.97;242.0
2022-12-27 15:11:09;3.97;242.0
2022-12-27 15:12:09;3.97;242.0
2022-12-27 15:13:08;3.97;242.0
2022-12-27 15:14:07;3.97;241.0
2022-12-27 15:15:07;3.97;242.0
2022-12-27 15:16:06;3.97;242.0
2022-12-27 15:17:05;3.97;242.0
2022-12-27 15:18:09;3.97;242.0
